MUN,NOM_MUN,POBTOT,cluster,perfil,p_aguadv,p_drenaj,p_c_elec,p_inter,p_cel,p_autom,GRAPROES,PROM_OCUP
58,Nezahualcóyotl,1077208,0,alto,0.9964084731811386,0.9969426665994724,0.9988778578507954,0.6873557425792471,0.892529691410909,0.3892455777856171,10.42,3.6
59,Nextlalpan,57082,0,alto,0.9805445012949277,0.9941254500663256,0.9977259806708356,0.4704061651190702,0.9142189375276356,0.3730023371865327,9.9,3.6
60,Nicolás Romero,430601,0,alto,0.9583689937645188,0.9890922746406302,0.9983057656367352,0.5636036539569979,0.9002585017379002,0.3977695491939287,9.75,3.75
61,Nopaltepec,10351,0,alto,0.9877963737796374,0.9787308228730824,0.99721059972106,0.3730822873082287,0.8430962343096234,0.4944211994421199,9.23,3.58
62,Ocoyoacac,72103,0,alto,0.9791726930864912,0.99137980908302,0.996528782181082,0.5333526178767718,0.8907723459647093,0.4646803586925079,10.43,4.16
63,Ocuilan,36223,2,intermedio,0.9566059225512528,0.9054669703872438,0.9915717539863326,0.2267653758542141,0.7793849658314351,0.365261958997722,8.15,4.12
64,El Oro,36937,2,intermedio,0.9338690411553916,0.8538386361168422,0.9882723422738624,0.3365186230861114,0.8155065696601151,0.3621457270061896,8.49,3.98
65,Otumba,36331,0,alto,0.9781881006370804,0.9722492171471764,0.9941690962099126,0.3441313033149767,0.8793866753050427,0.5134434726271461,9.23,3.8
66,Otzoloapan,4891,2,intermedio,0.9944664031620554,0.9422924901185772,0.9984189723320158,0.1035573122529644,0.7090909090909091,0.4379446640316206,7.21,3.81
67,Otzolotepec,88783,2,intermedio,0.9942360296991012,0.9613130128956624,0.995652598671356,0.346180148495506,0.8273739742086753,0.4035756154747948,8.98,4.32
68,Ozumba,30785,2,intermedio,0.907384403036577,0.9671497584541064,0.994064872325742,0.3264320220841959,0.8433402346445825,0.3461697722567288,9.6,4.23
69,Papalotla,4862,0,alto,1.0,0.9950657894736842,0.9991776315789472,0.649671052631579,0.897203947368421,0.5287828947368421,10.74,3.92
70,La Paz,304088,0,alto,0.9220220489378864,0.9865939384627204,0.9969141730367866,0.529584245636948,0.8901650469276176,0.3156634527970908,9.53,3.89
71,Polotitlán,14985,2,intermedio,0.9880239520958084,0.9171656686626748,0.9922654690618764,0.2729540918163672,0.8450598802395209,0.5865768463073853,8.71,3.73
72,Rayón,15972,0,alto,0.9928343949044586,0.993895966029724,0.9962845010615712,0.4952229299363057,0.8415605095541401,0.410828025477707,9.96,4.23
73,San Antonio la Isla,31962,0,alto,0.9955388588870628,0.9944822728339986,0.9970650387414888,0.6233857713078187,0.9302653204977694,0.5354543320028176,11.11,3.75
74,San Felipe del Progreso,144924,1,bajo,0.7997009551127521,0.6239357968935949,0.977815751731714,0.1435110310945653,0.7825516462726191,0.2601995666900613,7.54,4.41
75,San Martín de las Pirámides,29182,0,alto,0.9813850559750064,0.981124707107524,0.9972663368914344,0.427362665972403,0.8928664410309816,0.4592554022390002,9.85,3.79
76,San Mateo Atenco,97418,0,alto,0.9698706260310844,0.9890162368672396,0.992706433967179,0.5551358860814448,0.9011461318051576,0.4791612399062255,10.42,4.22
77,San Simón de Guerrero,6692,2,intermedio,0.9883040935672516,0.8543859649122807,0.9818713450292398,0.247953216374269,0.8497076023391813,0.4,8.68,3.89
78,Santo Tomás,9729,2,intermedio,0.958904109589041,0.9539573820395738,0.995814307458143,0.1818873668188736,0.7553272450532724,0.2922374429223744,8.04,3.7
